MUNI_PROV,t24_100yr,t24_25yr,t24_5yr
"Bubong, Lanao_del_Sur",255.5,204,141.7
"Bubong, Lanao_del_Sur",239.7,189.8,129.2
"Bucay, Abra",602,479.8,331.7
"Bucloc, Abra",602,479.8,331.7
"Buenavista, Agusan_del_Norte",308.6,248.3,175.2
"Buenavista, Bohol",265.7,208.5,139.1
"Buenavista, Guimaras",304.5,241.5,165.2
"Buenavista, Marinduque",313.3,249.2,171.6
"Buenavista, Marinduque",508.3,404.8,279.5
"Buenavista, Marinduque",466.7,369.6,252
"Buenavista, Quezon",520.3,411.1,278.7
"Buenavista, Quezon",466.7,369.6,252
"Bugallon, Pangasinan",440.5,352.9,246.7
"Bugasong, Antique",304.5,241.5,165.2
"Buguey, Cagayan",484,379.3,252.5
"Buguias, Benguet",1134,876.1,563.6
"Buhi_Lake, Camarines_Sur",490.3,386.4,260.5
"Buhi, Camarines_Sur",490.3,386.4,260.5
"Bula, Camarines_Sur",490.3,386.4,260.5
"Bulacan, Bulacan",481.2,373.6,243.1
"Bulacan, Bulacan",415.6,328.8,223.5
"Bulalacao, Oriental_Mindoro",313.3,249.2,171.6
"Bulan, Sorsogon",490.3,386.4,260.5
"Buldon, Shariff_Kabunsuan",255.5,204,141.7
"Buldon, Shariff_Kabunsuan",239.7,189.8,129.2
"Buldon, Shariff_Kabunsuan",202.1,165.5,121.1
"Buluan_Lake, Maguindanao",195.2,153.4,102.7
"Buluan_Lake, Sultan_Kudarat",195.2,153.4,102.7
"Buluan, Maguindanao",195.2,153.4,102.7
"Bulusan, Sorsogon",490.3,386.4,260.5
"Bumbaran, Lanao_del_Sur",265.3,214.8,153.6
"Bumbaran, Lanao_del_Sur",239.7,189.8,129.2
"Bunawan, Agusan_del_Sur",483.1,389.7,276.5
"Burauen, Leyte",273,222.6,161.4
"Burdeos, Quezon",404.4,334.4,249.6
"Burgos, Ilocos_Norte",602,479.8,331.7
"Burgos, Ilocos_Sur",602,479.8,331.7
"Burgos, Ilocos_Sur",1134,876.1,563.6
"Burgos, Isabela",465.5,367.2,248
"Burgos, La_Union",1134,876.1,563.6
"Burgos, Pangasinan",440.5,352.9,246.7
"Burgos, Surigao_del_Norte",553.9,433,286.5
"Buruanga, Aklan",313.3,249.2,171.6
"Bustos, Bulacan",481.2,373.6,243.1
"Busuanga, Palawan",299.6,234.9,156.4
"Busuanga, Palawan",434.3,340.4,226.7
"Butig, Lanao_del_Sur",255.5,204,141.7
"Butuan_City, Agusan_del_Norte",308.6,248.3,175.2
"Buug, Zamboanga_Sibugay",294.4,242,178.5
"Caba, La_Union",1134,876.1,563.6
"Cabadbaran_City, Agusan_del_Norte",308.6,248.3,175.2
"Cabagan, Isabela",465.5,367.2,248
"Cabanatuan_City, Nueva_Ecija",349.3,275.2,185.3
"Cabangan, Zambales",533.6,431.1,307
"Cabanglasan, Bukidnon",265.3,214.8,153.6
"Cabarroguis, Quirino",427.9,345.5,245.6
"Cabatuan, Iloilo",304.5,241.5,165.2
"Cabatuan, Isabela",465.5,367.2,248
"Cabiao, Nueva_Ecija",349.3,275.2,185.3
"Cabucgayan, Biliran",273,222.6,161.4
"Cabucgayan, Biliran",418.8,331.3,255.3
"Cabugao, Ilocos_Sur",602,479.8,331.7
"Cabusao, Camarines_Sur",520.3,411.1,278.7
"Cabuyao, Laguna",434.3,340.4,226.7
"Cadiz_City, Negros_Occidental",304.5,241.5,165.2
"Cadiz_City, Negros_Occidental",344.6,273,186.2
"Cagayan_de_Oro_City, Misamis_Oriental",255.5,204,141.7
"Cagayan_de_Oro_City, Misamis_Oriental",239.7,189.8,129.2
"Cagayancillo, Palawan",299.6,234.9,156.4
"Cagayancillo, Palawan",304.5,241.5,165.2
"Cagdianao, Dinagat_Islands",553.9,433,286.5
"Cagwait, Surigao_del_Sur",483.1,389.7,276.5
"Caibiran, Biliran",418.8,331.3,255.3
"Cainta, Rizal",481.2,373.6,243.1
"Cajidiocan, Romblon",313.3,249.2,171.6
"Calabanga, Camarines_Sur",520.3,411.1,278.7
"Calaca, Batangas",434.3,340.4,226.7
"Calamba_City, Laguna",434.3,340.4,226.7
"Calamba, Misamis_Occidental",294.4,242,178.5
"Calanasan, Apayao",602,479.8,331.7
"Calanasan, Apayao",484,379.3,252.5
"Calanogas, Lanao_del_Sur",255.5,204,141.7
"Calapan_City, Oriental_Mindoro",508.3,404.8,279.5
"Calapan_City, Oriental_Mindoro",434.3,340.4,226.7
"Calape, Bohol",222.6,176.7,121.2
"Calasiao, Pangasinan",440.5,352.9,246.7
"Calatagan, Batangas",434.3,340.4,226.7
"Calatrava, Negros_Occidental",265.7,208.5,139.1
"Calatrava, Negros_Occidental",304.5,241.5,165.2
"Calatrava, Romblon",313.3,249.2,171.6
"Calauag, Quezon",466.7,369.6,252
"Calauan, Laguna",508.3,404.8,279.5
"Calauan, Laguna",434.3,340.4,226.7
"Calayan, Cagayan",484,379.3,252.5
"Calbayog_City, Samar",418.8,331.3,255.3
"Calbayog_City, Samar",461.8,368.5,255.4
"Calbiga, Samar",509.4,407.4,283.8
"Calbiga, Samar",273,222.6,161.4
"Calbiga, Samar",418.8,331.3,255.3
"Calinog, Iloilo",304.5,241.5,165.2
"Calinog, Iloilo",344.6,273,186.2
"Calintaan, Occidental_Mindoro",313.3,249.2,171.6
"Calubian, Leyte",273,222.6,161.4
"Calubian, Leyte",418.8,331.3,255.3
"Calumpit, Bulacan",415.6,328.8,223.5
"Caluya, Antique",313.3,249.2,171.6
"Camalaniugan, Cagayan",484,379.3,252.5
"Camalig, Albay",490.3,386.4,260.5
"Camaligan, Camarines_Sur",520.3,411.1,278.7
"Camiling, Tarlac",533.6,431.1,307
"Camiling, Tarlac",440.5,352.9,246.7
"Can_Avid, Eastern_Samar",509.4,407.4,283.8
"Can_Avid, Eastern_Samar",418.8,331.3,255.3
"Canaman, Camarines_Sur",520.3,411.1,278.7
